station_id,study_scope,scope_basis,programme,site_type,organization,state,site_cluster
CABEACH_WQX-9N,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-9N
CABEACH_WQX-9S,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-9S
CABEACH_WQX-AB10,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-AB10
CABEACH_WQX-AB8,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-AB8
CABEACH_WQX-ACM1D,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-ACM1D
CABEACH_WQX-ACM1U,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-ACM1D
CABEACH_WQX-ACM1Z,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-ACM1D
CABEACH_WQX-Aquatic Park,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-Aquatic Park
CABEACH_WQX-B-10,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-10
CABEACH_WQX-B-11,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-11
CABEACH_WQX-B-14,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-14
CABEACH_WQX-B-22,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-22
CABEACH_WQX-B-24,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-24
CABEACH_WQX-B-25,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-24
CABEACH_WQX-B-31,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-31
CABEACH_WQX-B-5,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-5
CABEACH_WQX-B-56,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-56
CABEACH_WQX-B-60,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-60
CABEACH_WQX-B-64,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-64
CABEACH_WQX-B-67,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-67
CABEACH_WQX-B-7,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-7
CABEACH_WQX-B-8,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-8
CABEACH_WQX-B-9,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-B-9
CABEACH_WQX-BAKER NE,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BAKER NE
CABEACH_WQX-BAKER NW,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BAKER NW
CABEACH_WQX-BAKER SW,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BAKER NW
CABEACH_WQX-BAY#202.4_SL,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BAY#202.4_SL
CABEACH_WQX-BAY#202.5_SL,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BAY#202.5_SL
CABEACH_WQX-BAY#210.1_SL,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BAY#210.1_SL
CABEACH_WQX-BAY#211_SL,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BAY#211_SL
CABEACH_WQX-BAY#220_SL,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BAY#220_SL
CABEACH_WQX-BAY#230_SL,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BAY#230_SL
CABEACH_WQX-BAY#300.1_SL,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BAY#300.1_SL
CABEACH_WQX-BAY#301.1_SL,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BAY#301.1_SL
CABEACH_WQX-BAY#301.2_SL,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BAY#301.2_SL
CABEACH_WQX-BAY#320_SL,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BAY#320_SL
CABEACH_WQX-BC-010,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BC-010
CABEACH_WQX-BC-020,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BC-020
CABEACH_WQX-BCO1,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BCO1
CABEACH_WQX-BDP07,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BDP07
CABEACH_WQX-BDP08,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BDP08
CABEACH_WQX-BDP12,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BDP08
CABEACH_WQX-BDP13,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BDP08
CABEACH_WQX-BDP14,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BDP08
CABEACH_WQX-BDP15,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BDP08
CABEACH_WQX-BDP16,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BDP08
CABEACH_WQX-BDP17,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BDP08
CABEACH_WQX-Bean Hollow Creek,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-Bean Hollow Creek
CABEACH_WQX-Bean Hollow State Beach,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-Bean Hollow Creek
CABEACH_WQX-BGCD,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BGCD
CABEACH_WQX-BGCU,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BGCD
CABEACH_WQX-BHH04,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BHH04
CABEACH_WQX-BHH05,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BHH05
CABEACH_WQX-BHH06,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BHH06
CABEACH_WQX-BHH09,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BHH09
CABEACH_WQX-BHH11,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BHH11
CABEACH_WQX-BHH12,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BHH12
CABEACH_WQX-BHH13,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BHH13
CABEACH_WQX-BHH15,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BHH15
